"artist_name","normalized_candidate","prior_status","internet_status","evidence"
"!Audacious Band","!Audacious Band","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"12Stone Worship","12Stone Worship","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"7 Hills Worship","7 Hills Worship","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"ACC Worship","ACC Worship","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"After The Music Fades","After The Music Fades","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"All About Worship ? Michael Farren","All About Worship ? Michael Farren","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"All About Worship ? Rhyan Shirley","All About Worship ? Rhyan Shirley","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Anchor Worship","Anchor Worship","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Antioch Music","Antioch Music","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Antioch Music & Lindy Cofer","Antioch Music & Lindy Cofer","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"ARISE Worship","ARISE Worship","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Asbury Worship Collective","Asbury Worship Collective","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Awaken Worship","Awaken Worship","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Awakening Worship","Awakening Worship","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Bethany Music","Bethany Music","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Bethel Music","Bethel Music","cleaned_strict","needs_review","artist_indicator_but_no_strong_online_match"
"Bethel Music & Amanda Cook","Bethel Music & Amanda Cook","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Bethel Music & Brian Johnson","Bethel Music & Brian Johnson","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Bethel Music & Jenn Johnson","Bethel Music & Jenn Johnson","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Bethel Music & Jeremy Riddle","Bethel Music & Jeremy Riddle","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Bethel Music & Jonathan David & Melissa Helser","Bethel Music & Jonathan David & Melissa Helser","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Bethel Music & Josh Baldwin","Bethel Music & Josh Baldwin","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Bethel Music & Kim Walker Smith","Bethel Music & Kim Walker Smith","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Bethel Music & Paul McClure","Bethel Music & Paul McClure","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Bethel Music & Steffany Frizzell Gretzinger","Bethel Music & Steffany Frizzell Gretzinger","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Bethel Music & Steffany Gretzinger","Bethel Music & Steffany Gretzinger","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Bethel Music & William Matthews","Bethel Music & William Matthews","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Bethel Music ? Amanda Lindsey Cook","Bethel Music ? Amanda Lindsey Cook","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Bethel Music ? Bethany Wohrle","Bethel Music ? Bethany Wohrle","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Bethel Music ? Brian Johnson","Bethel Music ? Brian Johnson","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Bethel Music ? Jenn Johnson","Bethel Music ? Jenn Johnson","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Bethel Music ? Jeremy Riddle ? Seffany Frizzell Gretzinger","Bethel Music ? Jeremy Riddle ? Seffany Frizzell Gretzinger","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Bethel Music ? Kalley Heiligenthal","Bethel Music ? Kalley Heiligenthal","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Bethel Music ? Matt Stinton","Bethel Music ? Matt Stinton","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Bethel Music ? Steffany Frizzell Gretzinger","Bethel Music ? Steffany Frizzell Gretzinger","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Bethel Music ? William Matthews","Bethel Music ? William Matthews","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Bethel Music I Leeland Mooring","Bethel Music I Leeland Mooring","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Bethel Music I Steffany Gretzinger","Bethel Music I Steffany Gretzinger","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Bethel Worship Arts","Bethel Worship Arts","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Boyce Vocal Band","Boyce Vocal Band","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"BridgeCity","BridgeCity","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Bright City","Bright City","cleaned_strict","needs_review","artist_indicator_but_no_strong_online_match"
"C3 Toronto Worship","C3 Toronto Worship","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"CAIN ? Essential Worship","CAIN ? Essential Worship","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Canyon Hills Worship","Canyon Hills Worship","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Celebration Worship","Celebration Worship","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Celebration Worship ? Lindsey Brenner","Celebration Worship ? Lindsey Brenner","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Central Bible College Worship Project","Central Bible College Worship Project","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Chapel Band","Chapel Band","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Christ Community Church","Christ Community Church","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Christ For The Nations Worship","Christ For The Nations Worship","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Christ For The Nations Worship ? Amber Trent","Christ For The Nations Worship ? Amber Trent","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Christ For The Nations Worship ? Faith Schneider","Christ For The Nations Worship ? Faith Schneider","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Christ For The Nations Worship ? Gabriel Allred","Christ For The Nations Worship ? Gabriel Allred","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Christ For The Nations Worship ? Jessica Freeman","Christ For The Nations Worship ? Jessica Freeman","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Christ For The Nations Worship ? Jonathan Lewis","Christ For The Nations Worship ? Jonathan Lewis","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Christ For The Nations Worship ? Kari Jobe","Christ For The Nations Worship ? Kari Jobe","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Christ For The Nations Worship ? Keith Hulen","Christ For The Nations Worship ? Keith Hulen","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Christ For The Nations Worship ? Klaus","Christ For The Nations Worship ? Klaus","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Christ For The Nations Worship ? Klaus ? Kari Jobe","Christ For The Nations Worship ? Klaus ? Kari Jobe","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Christ For The Nations Worship ? Lauren Farmer ? Benson Eapen","Christ For The Nations Worship ? Lauren Farmer ? Benson Eapen","rejected","needs_review","artist_indicator_but_no_strong_online_match"
"Christ For The Nations Worship ? Leeland Mooring","Christ For The Nations Worship ? Leeland Mooring","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Christ For The Nations Worship ? Rick Pino","Christ For The Nations Worship ? Rick Pino","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"CHURCHOUSE","CHURCHOUSE","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Circuit Rider Music ? Joshua Brennt ? Eileen Walker","Circuit Rider Music ? Joshua Brennt ? Eileen Walker","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Cities Worship - Closer","Cities Worship - Closer","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Citipointe Worship","Citipointe Worship","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Citipointe Worship ? Aaron Lucas","Citipointe Worship ? Aaron Lucas","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Citipointe Worship ? Beau Lamshed","Citipointe Worship ? Beau Lamshed","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Citipointe Worship ? Chardon Lewis","Citipointe Worship ? Chardon Lewis","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Community Music","Community Music","cleaned_strict","needs_review","artist_indicator_but_no_strong_online_match"
"Copper Pointe Worship","Copper Pointe Worship","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Covenant Worship","Covenant Worship","cleaned_strict","needs_review","artist_indicator_but_no_strong_online_match"
"Covenant Worship, David & Nicole Binion","Covenant Worship, David & Nicole Binion","cleaned_v2_only","needs_review","artist_indicator_but_no_strong_online_match"
"Cross Worship ? D'Marcus Howard ? Darius Byers ? Troy Culbreth","Cross Worship ? D'Marcus Howard ? Darius Byers ? Troy Culbreth","rejected","needs_review","artist_indicator_but_no_strong_online_match"
